TABLENAME,COLUMNNAME,FLDNAME,LKP_TABLE,LKP_COLUMN,LKP_DISPLAY_COLUMN
GF_TL_1008INFO,S_RISK_ASSESS,Risk Assessment Type,L_SYMBOL,Risk Assessment Type,ALIAS
GF_TL_AUDATA,DU_COMM_LEND_PROD,DU Comm Lend Product,L_SYMBOL,DU Comm Lend Product,ALIAS
GF_TL_BALLOON_MATURE,S_PERCENT_801,FR_Percent_801,L_SYMBOL,FR_Percent_801,ALIAS
GF_TL_BALLOON_MATURE,S_PERCENT_802,FR_Percent_802,L_SYMBOL,FR_Percent_802,ALIAS
GF_TL_BUYDOWN_SUBSIDY,BUYDN_DISB_TYPE,Buydn Disb Type,L_SYMBOL,Buydn Disb Type,ALIAS
GF_TL_BUYDOWN_SUBSIDY,BUYDOWN_CONTRIBUTOR_TYPE,Buydown Contributor,L_SYMBOL,Buydown Contributor,ALIAS
GF_TL_CLOSFHA,S_APPRAISERSELECTTYPE,FHA Apprs Select Typ,L_SYMBOL,FHA Apprs Select Typ,ALIAS
GF_TL_CLOSFHA,S_FHA_LOAN_PURPOSE,FHA Loan Purpose,L_SYMBOL,FHA Loan Purpose,ALIAS
GF_TL_CLOSFHA,S_FHA_TYPE_OF_CASE,FHA Type of Case,L_SYMBOL,FHA Type of Case,ALIAS
GF_TL_CLOSFHA,S_FHABORRCLASS,FHA BorrowerClsType,L_SYMBOL,FHA BorrowerClsType,ALIAS
GF_TL_CLOSFHA,S_FHACASETYPE,FHA Case Type,L_SYMBOL,FHA Case Type,ALIAS
GF_TL_CLOSFHA,S_INSPTYPE,FHA Inspection Type,L_SYMBOL,FHA Inspection Type,ALIAS
GF_TL_CLOSFHA,S_REFITYPE,Refi Type,L_SYMBOL,Refi Type,ALIAS
GF_TL_CLOSGOVT,FHA_AMTYPE,FHA AmortizationType,L_SYMBOL,FHA AmortizationType,ALIAS
GF_TL_CLOSGOVT,S_ADP,ADP Code,L_SYMBOL,ADP Code,ALIAS
GF_TL_CLOSGOVT,S_AGENCYTYPE,FHAVA Agency Type,L_SYMBOL,FHAVA Agency Type,ALIAS
GF_TL_CLOSGOVT,S_CASE_STATUS,FHAVA Case Status,L_SYMBOL,FHAVA Case Status,ALIAS
GF_TL_CLOSGOVT,S_EEMHOMETYPE,EEM Home Type,L_SYMBOL,EEM Home Type,ALIAS
GF_TL_CLOSGOVT,S_FHASPECIALPGM,Special Program,L_SYMBOL,Special Program,ALIAS
GF_TL_CLOSGOVT,S_FINANCINGTYPE,FHA Finance Type,L_SYMBOL,FHA Finance Type,ALIAS
GF_TL_CLOSGOVT,S_GOVREFITYPE_NM,Gov. Refi Type NM,L_SYMBOL,Gov. Refi Type NM,ALIAS
GF_TL_CLOSGOVT,S_HOUSING_PROGRAM,FHA Housing Program,L_SYMBOL,FHA Housing Program,ALIAS
GF_TL_CLOSGOVT,S_HUD_FLDOFFICE,HUD Field Office,L_SYMBOL,HUD Field Office,ALIAS
GF_TL_CLOSGOVT,S_PROCCODE,FHAVA Process Type,L_SYMBOL,FHAVA Process Type,ALIAS
GF_TL_CLOSING,S_BUSTYPE,Business Type,L_SYMBOL,Business Type,ALIAS
GF_TL_CLOSING,S_CLS_DOCS_METHOD_OF_DELIV,Clos Docs Meth Deliv,L_SYMBOL,Clos Docs Meth Deliv,ALIAS
GF_TL_CONSTESCROW,CONDOPUD_TYPE,CondoPudWrnty_Type,L_SYMBOL,CondoPudWrnty_Type,ALIAS
GF_TL_CREDIT_SCORE,S_SELDEC,Select Dec,L_SYMBOL,Select Dec,ALIAS
GF_TL_DELIVERY,SF_LENDER_ID_TYPE,SecondaryFin ID Type,L_SYMBOL,SecondaryFin ID Type,ALIAS
GF_TL_DOCUTECH_REQUEST,PACKAGETYPE,DocuTech Package Typ,L_SYMBOL,DocuTech Package Typ,ALIAS
GF_TL_FUNDING,S_FUNDTYPE,Fund Method,L_SYMBOL,Fund Method,ALIAS
GF_TL_FUNDING,S_INCL_PAYOFF,IncludePayoffInDisb,L_SYMBOL,IncludePayoffInDisb,ALIAS
GF_TL_FUNDING_LETTER,STATUS,Loan Status,L_SYMBOL,Loan Status,ALIAS
GF_TL_GFE_FEE_SNAPSHOT,S_RESP_PARTY,Fee Resp Party,L_SYMBOL,Fee Resp Party,ALIAS
GF_TL_HAMP_ORIGINAL_LOAN,S_PRODUCT,HAMP Orig Product,L_SYMBOL,HAMP Orig Product,ALIAS
GF_TL_HAMP_TRACKING,S_DENIAL_REASON,HAMP Denial Reasons,L_SYMBOL,HAMP Denial Reasons,ALIAS
GF_TL_HAMP_TRACKING,S_INVESTOR,GSE Investor,L_SYMBOL,GSE Investor,ALIAS
GF_TL_INVESTOR_LOCK,COMMITMENT_PROGRAM,Commitment Program,L_SYMBOL,Commitment Program,ALIAS
GF_TL_INVESTOR_LOCK,S_INV_LOCK_PERIOD,InvLk Lock Period,L_SYMBOL,InvLk Lock Period,ALIAS
GF_TL_INVESTOR_LOCK,S_INVLK_LOCK_STS,InvLk Lock Status,L_SYMBOL,InvLk Lock Status,ALIAS
GF_TL_INVESTOR_LOCK,S_SM_STATUS,SM Status,L_SYMBOL,SM Status,ALIAS
GF_TL_LOAN_DATA,DMI_BILLING_MODE,DMI Billing Mode,L_SYMBOL,DMI Billing Mode,ALIAS
GF_TL_LOAN_DATA,DMI_OWN_RIGHTS,DMI Ownership Rights,L_SYMBOL,DMI Ownership Rights,ALIAS
GF_TL_LOAN_DATA,S_AUS_RESULT,AUSResult,L_SYMBOL,AUSResult,ALIAS
GF_TL_LOAN_DATA,S_AUSUWTYPE,AUS UW Type,L_SYMBOL,AUS UW Type,ALIAS
GF_TL_LOAN_DATA,S_BRANCH_TYPE,Branch Type,L_SYMBOL,Branch Type,ALIAS
GF_TL_LOAN_DATA,S_INDEX,ARM Index Type,L_SYMBOL,ARM Index Type,ALIAS
GF_TL_LOAN_DATA,S_INIT_DISC_DELIVERY_MTHD,Init Disc Dlvry Mthd,L_SYMBOL,Init Disc Dlvry Mthd,ALIAS
GF_TL_LOAN_DATA,S_INTPRD_COMM_MET,Communication Method,L_SYMBOL,Communication Method,ALIAS
GF_TL_LOAN_DATA,S_WELCOME_CALL,Welcome Call,L_SYMBOL,Welcome Call,ALIAS
GF_TL_LOAN_STATUS,S_LOAN_STATUS,Loan Status,L_SYMBOL,Loan Status,ALIAS
GF_TL_PNP_IPG_DETAIL,INV_CODE_OVR,Inv Code Ovr,GF_TS_PNP_IPG_INVESTOR,INVESTORCODE,INVESTORNAME
GF_TL_PNP_IPG_DETAIL,INV_PRICE_CODE_OVR,Inv Price Code Ovr,GF_TS_PNP_IPG_PRICING,PRICING_GROUP_CODE,PRICING_GROUP_NAME
GF_TL_PNP_IPG_DETAIL,INV_PROD_CODE_OVR,Inv Prod Code Ovr,GF_TS_PNP_IPG_PRODUCT,PRODUCTCODE,PRODUCTNAME
GF_TL_PNP_IPG_DETAIL,INV_PROG_CODE_OVR,Inv Prog Code Ovr,GF_TS_PNP_IPG_PROGRAM,PROGRAMCODE,PROGRAMNAME
GF_TL_PNP_IPG_DETAIL,INVESTOR_CODE,Inv Code,GF_TS_PNP_IPG_INVESTOR,INVESTORCODE,INVESTORNAME
GF_TL_PNP_IPG_DETAIL,PRICE_GROUP_CODE,Inv Price Code,GF_TS_PNP_IPG_PRICING,PRICING_GROUP_CODE,PRICING_GROUP_NAME
GF_TL_PNP_IPG_DETAIL,PRODUCT_CODE,Inv Product Code,GF_TS_PNP_IPG_PRODUCT,PRODUCTCODE,PRODUCTNAME
GF_TL_PNP_IPG_DETAIL,PROGRAM_CODE,Inv Program Code,GF_TS_PNP_IPG_PROGRAM,PROGRAMCODE,PROGRAMNAME
GF_TL_PNP_IPG_DETAIL,S_ASSUMABILITY_FEATURE,AssumFeatureCode,L_SYMBOL,AssumFeatureCode,ALIAS
GF_TL_PNP_IPG_DETAIL,S_AUS_IND,AUS Ind,L_SYMBOL,IPG_AUSIndicator,ALIAS
GF_TL_PNP_IPG_DETAIL,S_SPEC_PROG,IPG Special Program,L_SYMBOL,IPG Special Program,ALIAS
GF_TL_POINT_OF_SALE_INFO,PER_DIEM_CALC_BASIS,PerDiem Calc Basis,L_SYMBOL,PerDiem Calc Basis,ALIAS
GF_TL_POINT_OF_SALE_INFO,S_GFE_TIME_ZONE,GFE Time Zone,L_SYMBOL,GFE Time Zone,ALIAS
GF_TL_POINT_OF_SALE_INFO,S_LNSTATUS,Loan Status POS,L_SYMBOL,Loan Status POS,ALIAS
GF_TL_POINT_OF_SALE_INFO,S_REFSC,REFERRAL SOURCE,L_SYMBOL,REFERRAL SOURCE,ALIAS
GF_TL_PRODUCT_DEFINITION,S_BALL_CON_OPT_TYPE,Balloon Con Opt Type,L_SYMBOL,Balloon Con Opt Type,ALIAS
GF_TL_SECONDARY,S_POOL_STATUS,Pool Status,L_SYMBOL,Pool Status,ALIAS
GF_TL_SUBJPRP,DWELLING_FOUND_TYPE,Dwelling Fndtn Type,L_SYMBOL,Dwelling Fndtn Type,ALIAS
GF_TL_SUBJPRP,INDIANCTRYLANDTENOTH,IndianCtryLandTenOth,L_SYMBOL,IndianCtryLandTenOth,ALIAS
GF_TL_SUBJPRP,INDIANCTYLANDTENURE,IndianCtryLandTenure,L_SYMBOL,IndianCtryLandTenure,ALIAS
GF_TL_SUBJPRP,PARKING_FACILITY,Parking Facility,L_SYMBOL,Parking Facility,ALIAS
GF_TL_SUBJPRP,S_PROP_STATUS,Property Status,L_SYMBOL,Property Status,ALIAS
GF_TL_SUBJPRP,URLAINDIANCTRYLNDTNR,URLAIndianCtryLand,L_SYMBOL,URLAIndianCtryLand,ALIAS
GF_TL_SUBJPRP,WATERSOURCE,Water Source,L_SYMBOL,Water source,ALIAS
GF_TL_UW_1,S_EXCEPTSTAT,Exception Status,L_SYMBOL,Exception Status,ALIAS
GF_TL_UW_1,S_REASON,Target Reason,L_SYMBOL,Target Reason,ALIAS
GF_TL_UW_4,CREDIT_SCORE_IMPAIRMENT,Credit Score Impair,L_SYMBOL,Credit Score Impair,ALIAS
GF_TL_UW_4,CREDIT_SELECTION_METHOD,Credit Select Method,L_SYMBOL,Credit Select Method,ALIAS
GF_TL_UW_COND_IMAGES,S_IMAGE_STATUS,UWCondImageStatus,L_SYMBOL,UWCondImageStatus,ALIAS
GF_TL_UWAPPREXT,APP_DELIVERED_DATETYPE,AppraisalDelDateType,L_SYMBOL,AppraisalDelDateType,ALIAS
GF_TL_UWAPPREXT,S_CAR_STORAGE_TYPE,Car Storage Type,L_SYMBOL,Car Storage Type,ALIAS
GF_TL_UWAPPREXT,S_FLOODMAPZONE,Flood Map Zone,L_SYMBOL,Flood Map Zone,ALIAS
GF_TL_UWAPPREXT,S_FOUNDATION_TYPE,Foundation Type,L_SYMBOL,Foundation Type,ALIAS
GF_TL_UWAPPREXT,S_PROP_LOC_TYPE,Prop Location Type,L_SYMBOL,Prop Location Type,ALIAS
GF_TL_VOE,EMP_STATUS,Emp Status,L_SYMBOL,Emp Status,ALIAS
GF_TL_VOE,S_VOE_HOW_VERIFIED,VOE How Verified,L_SYMBOL,VOE How Verified,ALIAS
GF_TL_VOE,S_VOE_VERIF_ACTION,VOE Verification Act,L_SYMBOL,VOE Verification Act,ALIAS
GF_TLB_MAILING,S_MAIL_UNIT_TYPE,Bor Mailing Unit Typ,L_SYMBOL,Bor Mailing Unit Typ,ALIAS
GF_TLBR_ADDITIONALDATA,ETHINICITY,Borrower Ethnicity,L_SYMBOL,Borrower Ethnicity,ALIAS
GF_TLBR_ADDITIONALDATA,S_COUNSEL_CONFIRM_OTH,Counsel Confirm Oth,L_SYMBOL,Counsel Confirm Oth,ALIAS
GF_TLBR_ADDITIONALDATA,S_COUNSEL_CONFIRM_TYP,Counsel Confirm Typ,L_SYMBOL,Counsel Confirm Typ,ALIAS
GF_TLBR_ADDITIONALDATA,S_COUNSEL_FORMAT_TYP,Counsel Format Typ,L_SYMBOL,Counsel Format Typ,ALIAS
GF_TLBR_ADDITIONALDATA,S_CREDIT_TYPE,Borr Credit Rq Type,L_SYMBOL,Borr Credit Rq Type,ALIAS
