TABLENAME,COLUMNNAME,LKP_TABLE,LKP_COLUMN,LKP_DISPLAY_COLUMN
GF_TL_AUDATA,DU_COMM_LEND_PROD,L_SYMBOL,DU Comm Lend Product,ALIAS
GF_TL_BALLOON_MATURE,S_PERCENT_801,L_SYMBOL,FR_Percent_801,ALIAS
GF_TL_BALLOON_MATURE,S_PERCENT_802,L_SYMBOL,FR_Percent_802,ALIAS
GF_TL_BUYDOWN_SUBSIDY,BUYDN_DISB_TYPE,L_SYMBOL,Buydn Disb Type,ALIAS
GF_TL_BUYDOWN_SUBSIDY,BUYDOWN_CONTRIBUTOR_TYPE,L_SYMBOL,Buydown Contributor,ALIAS
GF_TL_CLOSFHA,S_APPRAISERSELECTTYPE,L_SYMBOL,FHA Apprs Select Typ,ALIAS
GF_TL_CLOSFHA,S_FHA_LOAN_PURPOSE,L_SYMBOL,FHA Loan Purpose,ALIAS
GF_TL_CLOSFHA,S_FHA_TYPE_OF_CASE,L_SYMBOL,FHA Type of Case,ALIAS
GF_TL_CLOSFHA,S_FHABORRCLASS,L_SYMBOL,FHA BorrowerClsType,ALIAS
GF_TL_CLOSFHA,S_FHACASETYPE,L_SYMBOL,FHA Case Type,ALIAS
GF_TL_CLOSFHA,S_INSPTYPE,L_SYMBOL,FHA Inspection Type,ALIAS
GF_TL_CLOSFHA,S_REFITYPE,L_SYMBOL,Refi Type,ALIAS
GF_TL_CLOSGOVT,FHA_AMTYPE,L_SYMBOL,FHA AmortizationType,ALIAS
GF_TL_CLOSGOVT,S_ADP,L_SYMBOL,ADP Code,ALIAS
GF_TL_CLOSGOVT,S_AGENCYTYPE,L_SYMBOL,FHAVA Agency Type,ALIAS
GF_TL_CLOSGOVT,S_CASE_STATUS,L_SYMBOL,FHAVA Case Status,ALIAS
GF_TL_CLOSGOVT,S_EEMHOMETYPE,L_SYMBOL,EEM Home Type,ALIAS
GF_TL_CLOSGOVT,S_FHASPECIALPGM,L_SYMBOL,Special Program,ALIAS
GF_TL_CLOSGOVT,S_FINANCINGTYPE,L_SYMBOL,FHA Finance Type,ALIAS
GF_TL_CLOSGOVT,S_GOVREFITYPE_NM,L_SYMBOL,Gov. Refi Type NM,ALIAS
GF_TL_CLOSGOVT,S_HOUSING_PROGRAM,L_SYMBOL,FHA Housing Program,ALIAS
GF_TL_CLOSGOVT,S_HUD_FLDOFFICE,L_SYMBOL,HUD Field Office,ALIAS
GF_TL_CLOSGOVT,S_PROCCODE,L_SYMBOL,FHAVA Process Type,ALIAS
GF_TL_CLOSING,S_BUSTYPE,L_SYMBOL,Business Type,ALIAS
GF_TL_CLOSING,S_CLS_DOCS_METHOD_OF_DELIV,L_SYMBOL,Clos Docs Meth Deliv,ALIAS
GF_TL_CONSTESCROW,CONDOPUD_TYPE,L_SYMBOL,CondoPudWrnty_Type,ALIAS
GF_TL_CREDIT_SCORE,S_SELDEC,L_SYMBOL,Select Dec,ALIAS
GF_TL_DELIVERY,SF_LENDER_ID_TYPE,L_SYMBOL,SecondaryFin ID Type,ALIAS
GF_TL_DOCUTECH_REQUEST,PACKAGETYPE,L_SYMBOL,DocuTech Package Typ,ALIAS
GF_TL_FUNDING,S_FUNDTYPE,L_SYMBOL,Fund Method,ALIAS
GF_TL_FUNDING,S_INCL_PAYOFF,L_SYMBOL,IncludePayoffInDisb,ALIAS
GF_TL_FUNDING_LETTER,STATUS,L_SYMBOL,Loan Status,ALIAS
GF_TL_GFE_FEE_SNAPSHOT,S_RESP_PARTY,L_SYMBOL,Fee Resp Party,ALIAS
GF_TL_HAMP_ORIGINAL_LOAN,S_PRODUCT,L_SYMBOL,HAMP Orig Product,ALIAS
GF_TL_HAMP_TRACKING,S_DENIAL_REASON,L_SYMBOL,HAMP Denial Reasons,ALIAS
GF_TL_HAMP_TRACKING,S_INVESTOR,L_SYMBOL,GSE Investor,ALIAS
GF_TL_INVESTOR_LOCK,COMMITMENT_PROGRAM,L_SYMBOL,Commitment Program,ALIAS
GF_TL_INVESTOR_LOCK,S_INV_LOCK_PERIOD,L_SYMBOL,InvLk Lock Period,ALIAS
GF_TL_INVESTOR_LOCK,S_INVLK_LOCK_STS,L_SYMBOL,InvLk Lock Status,ALIAS
GF_TL_INVESTOR_LOCK,S_SM_STATUS,L_SYMBOL,SM Status,ALIAS
GF_TL_LOAN_DATA,DMI_BILLING_MODE,L_SYMBOL,DMI Billing Mode,ALIAS
GF_TL_LOAN_DATA,DMI_OWN_RIGHTS,L_SYMBOL,DMI Ownership Rights,ALIAS
GF_TL_LOAN_DATA,S_AUS_RESULT,L_SYMBOL,AUSResult,ALIAS
GF_TL_LOAN_DATA,S_AUSUWTYPE,L_SYMBOL,AUS UW Type,ALIAS
GF_TL_LOAN_DATA,S_BRANCH_TYPE,L_SYMBOL,Branch Type,ALIAS
GF_TL_LOAN_DATA,S_INDEX,L_SYMBOL,ARM Index Type,ALIAS
GF_TL_LOAN_DATA,S_INIT_DISC_DELIVERY_MTHD,L_SYMBOL,Init Disc Dlvry Mthd,ALIAS
GF_TL_LOAN_DATA,S_INTPRD_COMM_MET,L_SYMBOL,Communication Method,ALIAS
GF_TL_LOAN_DATA,S_PAYEETYPE,L_SYMBOL,Loss Payee Type,ALIAS
GF_TL_LOAN_DATA,S_WELCOME_CALL,L_SYMBOL,Welcome Call,ALIAS
GF_TL_LOAN_STATUS,S_LOAN_STATUS,L_SYMBOL,Loan Status,ALIAS
GF_TL_LOAN_STATUS,S_LOCK_STATUS,L_SYMBOL,InvLk Lock Status,ALIAS
GF_TL_PNP_IPG_DETAIL,INV_CODE_OVR,GF_TS_PNP_IPG_INVESTOR,INVESTORCODE,INVESTORNAME
GF_TL_PNP_IPG_DETAIL,INV_PRICE_CODE_OVR,GF_TS_PNP_IPG_PRICING,PRICING_GROUP_CODE,PRICING_GROUP_NAME
GF_TL_PNP_IPG_DETAIL,INV_PROD_CODE_OVR,GF_TS_PNP_IPG_PRODUCT,PRODUCTCODE,PRODUCTNAME
GF_TL_PNP_IPG_DETAIL,INV_PROG_CODE_OVR,GF_TS_PNP_IPG_PROGRAM,PROGRAMCODE,PROGRAMNAME
GF_TL_PNP_IPG_DETAIL,INVESTOR_CODE,GF_TS_PNP_IPG_INVESTOR,INVESTORCODE,INVESTORNAME
GF_TL_PNP_IPG_DETAIL,PRICE_GROUP_CODE,GF_TS_PNP_IPG_PRICING,PRICING_GROUP_CODE,PRICING_GROUP_NAME
GF_TL_PNP_IPG_DETAIL,PRODUCT_CODE,GF_TS_PNP_IPG_PRODUCT,PRODUCTCODE,PRODUCTNAME
GF_TL_PNP_IPG_DETAIL,PROGRAM_CODE,GF_TS_PNP_IPG_PROGRAM,PROGRAMCODE,PROGRAMNAME
GF_TL_PNP_IPG_DETAIL,S_ASSUMABILITY_FEATURE,L_SYMBOL,AssumFeatureCode,ALIAS
GF_TL_PNP_IPG_DETAIL,S_AUS_IND,L_SYMBOL,IPG_AUSIndicator,ALIAS
GF_TL_PNP_IPG_DETAIL,S_PREPAY_PEN,L_SYMBOL,Prepay Penalty Type,ALIAS
GF_TL_PNP_IPG_DETAIL,S_SEC_POOL_TYPE,L_SYMBOL,Cmtmt Pool Type,ALIAS
GF_TL_PNP_IPG_DETAIL,S_SPEC_PROG,L_SYMBOL,IPG Special Program,ALIAS
GF_TL_POINT_OF_SALE_INFO,PER_DIEM_CALC_BASIS,L_SYMBOL,PerDiem Calc Basis,ALIAS
GF_TL_POINT_OF_SALE_INFO,S_DOCLVL,L_SYMBOL,Documentation Level,ALIAS
GF_TL_POINT_OF_SALE_INFO,S_GFE_TIME_ZONE,L_SYMBOL,GFE Time Zone,ALIAS
GF_TL_POINT_OF_SALE_INFO,S_LNSTATUS,L_SYMBOL,Loan Status POS,ALIAS
GF_TL_POINT_OF_SALE_INFO,S_REFSC,L_SYMBOL,REFERRAL SOURCE,ALIAS
GF_TL_PRODUCT_DEFINITION,S_BALL_CON_OPT_TYPE,L_SYMBOL,Balloon Con Opt Type,ALIAS
GF_TL_SECONDARY,S_POOL_STATUS,L_SYMBOL,Pool Status,ALIAS
GF_TL_SUBJPRP,DWELLING_FOUND_TYPE,L_SYMBOL,Dwelling Fndtn Type,ALIAS
GF_TL_SUBJPRP,INDIANCTRYLANDTENOTH,L_SYMBOL,IndianCtryLandTenOth,ALIAS
GF_TL_SUBJPRP,INDIANCTYLANDTENURE,L_SYMBOL,IndianCtryLandTenure,ALIAS
GF_TL_SUBJPRP,PARKING_FACILITY,L_SYMBOL,Parking Facility,ALIAS
GF_TL_SUBJPRP,S_PROP_STATUS,L_SYMBOL,Property Status,ALIAS
GF_TL_SUBJPRP,URLAINDIANCTRYLNDTNR,L_SYMBOL,URLAIndianCtryLand,ALIAS
GF_TL_SUBJPRP,WATERSOURCE,L_SYMBOL,Water source,ALIAS
GF_TL_UW_1,S_EXCEPTSTAT,L_SYMBOL,Exception Status,ALIAS
GF_TL_UW_1,S_REASON,L_SYMBOL,Target Reason,ALIAS
GF_TL_UW_4,CREDIT_SCORE_IMPAIRMENT,L_SYMBOL,Credit Score Impair,ALIAS
GF_TL_UW_4,CREDIT_SELECTION_METHOD,L_SYMBOL,Credit Select Method,ALIAS
GF_TL_UW_COND_IMAGES,S_IMAGE_STATUS,L_SYMBOL,UWCondImageStatus,ALIAS
GF_TL_UWAPPREXT,APP_DELIVERED_DATETYPE,L_SYMBOL,AppraisalDelDateType,ALIAS
GF_TL_UWAPPREXT,S_CAR_STORAGE_TYPE,L_SYMBOL,Car Storage Type,ALIAS
GF_TL_UWAPPREXT,S_FLOODMAPZONE,L_SYMBOL,Flood Map Zone,ALIAS
GF_TL_UWAPPREXT,S_FOUNDATION_TYPE,L_SYMBOL,Foundation Type,ALIAS
GF_TL_UWAPPREXT,S_PROP_LOC_TYPE,L_SYMBOL,Prop Location Type,ALIAS
GF_TL_VOE,EMP_STATUS,L_SYMBOL,Emp Status,ALIAS
GF_TL_VOE,S_VOE_HOW_VERIFIED,L_SYMBOL,VOE How Verified,ALIAS
GF_TL_VOE,S_VOE_VERIF_ACTION,L_SYMBOL,VOE Verification Act,ALIAS
GF_TLB_MAILING,S_MAIL_UNIT_TYPE,L_SYMBOL,Bor Mailing Unit Typ,ALIAS
GF_TLBR_ADDITIONALDATA,ETHINICITY,L_SYMBOL,Borrower Ethnicity,ALIAS
GF_TLBR_ADDITIONALDATA,S_COUNSEL_CONFIRM_OTH,L_SYMBOL,Counsel Confirm Oth,ALIAS
GF_TLBR_ADDITIONALDATA,S_COUNSEL_CONFIRM_TYP,L_SYMBOL,Counsel Confirm Typ,ALIAS
GF_TLBR_ADDITIONALDATA,S_COUNSEL_FORMAT_TYP,L_SYMBOL,Counsel Format Typ,ALIAS
GF_TLBR_ADDITIONALDATA,S_CRDTSCORE_MODEL_OVR,L_SYMBOL,Crdt Sc Model Name,ALIAS
GF_TLBR_ADDITIONALDATA,S_CREDIT_TYPE,L_SYMBOL,Borr Credit Rq Type,ALIAS
GF_TLBR_ADDITIONALDATA,S_FIRSTTIMEHBCOUNSEL,L_SYMBOL,1stTimeHBCounselType,ALIAS
GF_TLBR_ADDITIONALDATA,S_LANGUAGEPREFERENCE,L_SYMBOL,Language Preference,ALIAS
GF_TLBR_ADDITIONALDATA,S_MLA_CREDIT_REPORT_STATUS,L_SYMBOL,Credit Report Status,ALIAS
